sent_id	left_context	pivot	right_context
annodis.er_00057	L'équipe B, chez les seniors, évoluera à 	partir	 de 15h, sur la pelouse du terrain d'honneur, face à la formation de Laneuville. 
annodis.er_00067	Une sortie nautique d'entraînement est organisée aujourd'hui, à 	partir	 de 9h, pour les rameurs du club. 
annodis.er_00079	Guy affectionnait beaucoup le jardinage, loisir partagé avec Denise, son épouse, qu'il a eu la douleur de perdre il y 	a	 quinze jours. 
annodis.er_00241	Pour ce qui 	est	 de la bagarre, l'enquête de police se poursuit afin de savoir qui a fait quoi. 
annodis.er_00284	Il rappelle néanmoins un certain nombre d'actions entreprises par le gouvernement, et plus particulièrement la mise en place du groupe de travail, réuni pour la première fois il y 	a	 quelques jours. 
annodis.er_00471	Il y 	a	 trois semaines, l'Uruguayen envisageait de quitter le club. 
annodis.er_00500	Le passager avant de la voiture en a également profité pour voler l'argent que contenait le porte-monnaie du propriétaire du véhicule, à 	savoir	... 30 F. 
emea-fr-dev_00051	Chez les patients subissant un ICP, Angiox s'est montré aussi efficace que l'héparine pour toutes les mesures, excepté en ce qui 	concerne	 le saignement majeur, pour lequel il s'est révélé nettement meilleur (niveau de saignement inférieur) que l'héparine. 
emea-fr-dev_00157	Bien que la plupart des saignements associés à la bivalirudine se produisent au site d'accès artériel chez les patients qui subissent une ICP, une hémorragie peut se produire à n'	importe	 quel endroit pendant le traitement. 
emea-fr-dev_00181	Les études animales ne sont pas concluantes pour ce qui 	est	 des effets délétères sur la gestation, le développement embryonnaire ou foetal, l'accouchement ou le développement post-natal (voir rubrique 5.3). 
emea-fr-dev_00309	ACUITY est une étude prospective, randomisée, en 	ouvert	, destinée à comparer la bivalirudine associée ou non à un inhibiteur de la GP IIb/IIIa (respectivement bras B et C) et l'enoxaparine ou l'héparine non fractionnée (HNF) associée à un inhibiteur de la GP IIb/IIIa (bras A), chez plus de 13 819 patients atteints d'un syndrome coronarien aigu (SCA) et considérés à haut risque. 
emea-fr-test_00105	Aclasta ne doit pas être utilisé chez l'enfant et l'adolescent en-dessous de 18 ans compte 	tenu	 de l'absence de données concernant la sécurité et l'efficacité. 
emea-fr-test_00287	Sur 143 patients traités par Aclasta, 141 patients ont eu une réponse thérapeutique maintenue après une durée médiane de 18 mois de suivi à 	partir	 de la perfusion et sur 107 patients traités par le risédronate, 71 patients ont eu une réponse thérapeutique maintenue. 
emea-fr-test_00411	Une diminution du taux circulant des hormones sexuelles, principalement des estrogènes convertis à 	partir	 des androgènes, joue aussi un rôle dans la perte osseuse graduelle observée chez les hommes. 
