Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
800,2987,"Dans les Métamorphoses d'Ovide, c'est au sommet de cette montagne, le """"seul endroit de la terre que les eaux n'ussent pas ",couvert,", lors du déluge provoqué par les Dieux, que l'embarcation de Deucalion accoste.",28.0,couvert,couvrir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,26.0,xcomp,26:xcomp,SpaceAfter=No,2.0
14111,52643,Avec la parité non ,couverte," des taux d'intérêt, nous considérons un opérateur qui anticipe l'appréciation d'une devise par rapport à sa monnaie et qui, après avoir acheté au comptant cette devise, ne la revend pas.",5.0,couverte,couvrir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,3.0,acl,3:acl,_,2.0
21707,81257,Il choisit la peinture en fonction du matériau à ,couvrir," (plâtre, bois).",10.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,8.0,acl,8:acl,_,2.0
31257,117775,"Eteindre le feu, ",couvrir, et terminez doucement la cuisson.,5.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,1.0,advcl,1:advcl,_,1.0
32324,121822,"Et les journalistes suisses d’expliquer sans humpouir: En France on peut mentir sur ses condamnations et si un journaliste ose dire la vérité, il est poursuivi car l’amnistie ",couvre,: quel salauds ces suisses !,33.0,couvre,couvrir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,29.0,conj,29:conj,SpaceAfter=No,1.0
32580,122729,"Lors de son face-à-face avec François Bayrou, la candidate socialiste a montré une qualité importante: elle ne se laisse pas couper la parole, et sa voix aiguë a tendance à ",couvrir, celle de ses interlocuteurs masculins.,34.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,32.0,acl,32:acl,_,2.0
40598,153094,Il est donc possible qu'au milieu d'une zone non ,couverte,", la couverture d'un endroit particulier soit rentable si les infrastructures passives sont financées par la collectivité.",12.0,couverte,couvrir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,10.0,acl,10:acl,SpaceAfter=No,1.0
47900,180585,"En matière de prévoyance, le risque principal à ",couvrir, est sans conteste celui de l'invalidité.,10.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,7.0,acl,7:acl,_,1.0
49854,188189,"Ce service, déjà fort apprécié par nombre d'entre vous, s'élargit sensiblement : en effet, ce n'est plus seulement vos moyens à la Banque Populaire que nous ",couvrons,", mais l'ensemble de vos cartes bancaires et chéquiers, y compris d'autres banques.",33.0,couvrons,couvrir,VERB,VERB,Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin,29.0,acl:relcl,29:acl:relcl,SpaceAfter=No,1.0
57172,215108,N'hésitez pas à consulter votre conseiller Crédit Mutuel.Il vous aidera dans votre approche des risques à ,couvrir," et vous proposera, soit une solution sur mesure, soit Associa 3, notre formule d'assurance de biens et de personnes.",20.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,16.0,acl,16:acl,_,1.0
60035,226025,"Ces dernières semaines la France a même réduit la dette du Gabon, pays riche, gorgé de pétrole et ",couvert," de forêts de bois précieux, de près de 20%.",21.0,couvert,couvrir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,17.0,conj,17:conj,_,1.0
78437,295195,Les installations sportives ,couvertes," et de plein air -comprenant remontées mécaniques, salles de gymnastique et fitness- occupent le deuxième rang.",4.0,couvertes,couvrir,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,2.0,acl,2:acl,_,1.0
149628,564659,"Les G13 sont des G10, ",couverts," standard à 4 portes du type Gahkkss, montés sur bogies Y37A, à 2 freins à disques par essieu, et munis d'accélérateurs de vidange de conduite générale (AVC) Oerlikon.",7.0,couverts,couvrir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,5.0,appos,5:appos,_,1.0
152069,573783,Le taux de pénétration est actuellement de plus de 10 % dans les zones les mieux ,couvertes, alors qu'elle était de 5 % en analogique.,17.0,couvertes,couvrir,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,14.0,acl,14:acl,_,1.0
154920,584458,"Pour cerner au mieux les gros complexes nébulaires qui tracent les bras spiraux galactiques, nous avons choisi d'étudier 17 zones du plan galactique, ",couvertes, chacune par 20 à 30 champs jointifs.,27.0,couvertes,couvrir,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,22.0,acl,22:acl,_,2.0
162787,613897,"Je ne vois rien, je ne la vois pas, je l'entends c'est tout, sa voix est claire et ",couvre," la pénible atmosphère&#133; """" C'est un petit malheur,",24.0,couvre,couvrir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,22.0,conj,22:conj,_,1.0
171881,648341,"Bennigsen, qui ne peut penser que l'armée française a parcouru en douze heures le trajet qu'il a mis trois fois plus de temps à ",couvrir,", réagit mollement à ce qu'il pense être une simple escarmouche.",28.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,26.0,acl,26:acl,SpaceAfter=No,1.0
175283,661251,Le risque dépendance s'ajoutera à ceux déjà ,couverts,", comme la maladie, les accidents du travail ou le chômage.",9.0,couverts,couvrir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,7.0,acl,7:acl,SpaceAfter=No,1.0
183939,694082,Les mouvements socio-économiques récents ont conduit à l'établissement du « 7e Kilomètre » - le plus grand marché européen non ,couvert, de gros situé dans la banlieue.,22.0,couvert,couvrir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,19.0,acl,19:acl,_,1.0
215321,811894,"Réparti sur 6 sites géographiques, le réseau à ",couvrir," compte près d'un millier de postes téléphoniques, et n'appartient pas totalement au rectorat.",10.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,8.0,acl,8:acl,_,1.0
215575,812812,"Désormais, les Etats-Unis vont pouvoir recevoir de l'uranium russe afin de ",couvrir, 20% des besoins en combustible de leurs centrales nucléaires en fonctionnement.,14.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,12.0,obl:arg,12:obl:arg,_,1.0
220045,829816,"Vers 13h00, les places assises non ",couvertes," étaient également """"sold-out"""" et il ne restait plus que 2500 places debout.",8.0,couvertes,couvrir,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,5.0,acl,5:acl,_,2.0
261056,984072,"La brigade de cavalerie, qui est une brigade de cavalerie légère, n’est pas utilisée pour reconnaître et ",couvrir, les approches de Wissembourg face à l’est.,21.0,couvrir,couvrir,VERB,VERB,VerbForm=Inf,19.0,conj,19:conj,_,1.0
