Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
11597,43448,"Le 27 septembre, devant l'urgence à ",sévir,", Rajiv Gandhi sort enfin de son silence en envoyant personnellement une directive au State Chief Minister du Rajasthan.",9.0,sévir,sévir,VERB,VERB,VerbForm=Inf,7.0,acl,7:acl,SpaceAfter=No,2.0
55368,208358,La crise économique commence à ,sévir," et plusieurs conflits sociaux, mis en sourdine pendant la campagne, risquent d'éclater dès janvier.",6.0,sévir,sévir,VERB,VERB,VerbForm=Inf,4.0,xcomp,4:xcomp,_,1.0
60819,229047,"Quant à ses """"mauvais souvenirs"""", ce sont ceux de l'affaire Dutroux, le pervers psychopathe qui a ",sévi," tout près d'ici, profitant des lenteurs de la justice, de l'incompétence de la police et d'un laisser-aller général.",22.0,sévi,sévir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,18.0,acl:relcl,18:acl:relcl,_,2.0
126930,479284,En refusant de ,sévir,", le gouvernement Charest tente de """"protéger ses amis libéraux"""", accuse le député péquiste de Rousseau, François Legault.",4.0,sévir,sévir,VERB,VERB,VerbForm=Inf,2.0,xcomp,2:xcomp,SpaceAfter=No,1.0
169019,637468,Avec le vent et la sécheresse qui ,sévit,", l'eau se fait rare et les deux hélicoptères en service ne suffisent pas à la tâche.",8.0,sévit,sévir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,acl:relcl,6:acl:relcl,SpaceAfter=No,1.0
184235,695193,"Les symptômes d'une infection bactérienne sont similaires à ceux observés lors d'une infection virale onMouseOut=""""killlink()"""">bacille de la peste qui ont ",sévi, lors des épidémies vénitiennes.,23.0,sévi,sévir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,15.0,acl:relcl,15:acl:relcl,_,1.0
192847,727547,La rencontre à Washington a pour but de coordonner les actions des pays membres du G7 pour contrer la crise financière qui ,sévit, actuellement et d'examiner d'autres mesures à être prises éventuellement.,23.0,sévit,sévir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,20.0,acl:relcl,20:acl:relcl,_,1.0
223861,844298,En dépit de la sévère crise qui ,sévit,", l'estimation est même supérieure à celle qui avait été donnée en juin 2007 alors que les marchés financiers n'avaient pas encore commencé à piquer du nez.",8.0,sévit,sévir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,acl:relcl,6:acl:relcl,SpaceAfter=No,1.0
230992,870886,Le premier ministre Harper n'avait pas non plus accepté le fait que le commissaire Shapiro ait refusé de ,sévir, dans l'affaire Gurmant Grewal.,20.0,sévir,sévir,VERB,VERB,VerbForm=Inf,18.0,xcomp,18:xcomp,_,2.0
259558,978407,"Les temps sont difficiles, la confrérie des libraires a du mal à accepter une femme, la peste ",sévit, et menace le commerce.,20.0,sévit,sévir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,conj,4:conj,_,1.0
