Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
2273,8557,Je croisais d'autres coureurs avec leurs lampes frontales super performantes et ils ne pouvaient s'empêcher de ,rigoler, et de me taquiner un peu.»La cohabitation avec la faune de l'endroit a aussi apporté son lot de surprises à la coureuse de Québec.,19.0,rigoler,rigoler,VERB,VERB,VerbForm=Inf,17.0,xcomp,17:xcomp,_,3.0
18614,69748,Sa posture n'a pas échappé au ministère public. « On n'est pas là pour ,rigoler," », reproche Thomas Bride, substitut du procureur de la République à Oliver Koch.",18.0,rigoler,rigoler,VERB,VERB,VerbForm=Inf,14.0,advcl,14:advcl,_,1.0
41328,155882,"Ce qui me fait « marrer » (venant d'EA, on ne peut pas faire autre chose que ",rigoler," ou pleurer ), c'est surtout que les screens PC sont des timbres postes alors que les screens XBox 360 sont en hi res le monde à l'envers...",21.0,rigoler,rigoler,VERB,VERB,VerbForm=Inf,19.0,acl,19:acl,_,1.0
74292,279932,Je me souviens comment Daniel Pipes - l'un des grands illusionnistes du journalisme américain moderne - a annoncé en été 2003 que ce dont les Irakiens avaient besoin (ne ,rigolez," pas, SVP !)",32.0,rigolez,rigoler,VERB,VERB,Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin,19.0,ccomp,19:ccomp,_,2.0
76370,287489,"Loyal et courageux, la compétition fraternelle qui se joue entre Werner et lui n'est que prétexte à ",rigoler, et à envoyer de nombreuses piques...,20.0,rigoler,rigoler,VERB,VERB,VerbForm=Inf,18.0,xcomp,18:xcomp,_,1.0
148069,558834,Ta réaction est surtout pathétoque et me fait bien ,rigolé,", au moins j'ai atteint mon but..",10.0,rigolé,rigoler,VERB,VERB,VerbForm=Inf,5.0,xcomp,5:xcomp,SpaceAfter=No,1.0
183858,693754,"Autre événement : le nouveau Zelda qui, à peu de choses près, se vendait autant que la Wii (ne ",rigolez," pas, ce n'est pas loin de la vérité).",23.0,rigolez,rigoler,VERB,VERB,Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin,30.0,advmod,30:advmod,_,1.0
193773,731144,"Ils jouaient aux cartes, ils ",rigolaient,", ils profitaient du jardin C'est ce qui fait tenir les gens"""".",7.0,rigolaient,rigoler,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin,2.0,advcl,2:advcl,SpaceAfter=No,3.0
202693,764605,"Trois double fautes de suite, cela ne m'était plus arrivé depuis huit ans, dans un challenger en Suisse"""", a ",rigolé, le Suisse de 23 ans.,25.0,rigolé,rigoler,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,parataxis,12:parataxis,_,1.0
229610,865948,Quelques uns ,rigolaient," et d'autres, comme les professeurs de sciences, étudiaient le comportement de ce Martien.",3.0,rigolaient,rigoler,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin,0.0,root,0:root,_,1.0
253407,954584,"Un garçon soulève la jupe d'une fille, des adolescentes ",rigolent, tandis que des jeunes de Harlem prennent des poses de gangsters.,12.0,rigolent,rigoler,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
258850,975619,"On s'est recueilli dix secondes sur cet endroit maudit et on a dit une oraison pour la malchance de Petter"""", ",rigolait," Berger le biathlète qui a engrangé son deuxième titre mondial de ski de fond, après sa victoire dans le 15 km libre.",24.0,rigolait,rigoler,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin,4.0,parataxis,4:parataxis,_,2.0
