Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
8019,29961,"Enfin, le service Internet, en tant que service de télécommunications, est un service """"best effort"""" : qualité non ",garantie,", délais d'attente, absence de sécurité, bas / moyen débits.",24.0,garantie,garantir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,22.0,acl,22:acl,SpaceAfter=No,1.0
11004,41275,"Plus de 12% des cancers étaient détectés uniquement par le deuxième lecteur des clichés, d'où l'intérêt d'une deuxième lecture, une procédure non ",garantie, lors d'un dépistage individuel.,29.0,garantie,garantir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,27.0,acl,27:acl,_,2.0
21602,80876,L'agence de notation a également abaissé la note de la dette non ,garantie," de General Motors (GM), qui passe de """"CC"""" à """"C"""", soit juste au-dessus de la catégorie réservée aux entreprises ayant déposé leur bilan.",14.0,garantie,garantir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,12.0,acl,12:acl,_,1.0
39867,150155,Les fonds obligataires ,garantis," et mixtes internationaux, ainsi que les fonds d'actions espagnoles ou internationales ont enregistré dans l'ensemble des souscriptions nettes.",4.0,garantis,garantir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,2.0,acl,2:acl,_,1.0
49682,187441,"La banque américaine cherche à récupérer des fonds fournis à une autre compagnie japonaise, que des employés de Marubeni auraient aidé à ",garantir,", selon la banque.",24.0,garantir,garantir,VERB,VERB,VerbForm=Inf,22.0,xcomp,22:xcomp,SpaceAfter=No,1.0
120986,457180,La note senior non ,garantie," du groupe est également maintenue à """"BBB"""".",5.0,garantie,garantir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,2.0,acl,2:acl,_,1.0
168289,634548,Ce financement a été accordé sous forme de facilité de crédit à long terme non ,garantie,", remboursable sur 10 ans.",16.0,garantie,garantir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,9.0,acl,9:acl,SpaceAfter=No,1.0
197265,744233,"Un centre de supervision gérant le réseau 24h sur 24, 7 jours sur 7 et ",garantissant,", en cas d'incident, un temps de rétablissement de moins de 4 heures.",17.0,garantissant,garantir,VERB,VERB,Tense=Pres|VerbForm=Part,5.0,conj,5:conj,SpaceAfter=No,1.0
225742,851476,"Parce que nous rassemblons tous les pays, nous sommes capables de définir et de ",garantir, le compromis et l'intérêt général.,16.0,garantir,garantir,VERB,VERB,VerbForm=Inf,13.0,conj,13:conj,_,2.0
233828,881594,Il peut aussi recevoir un coupon non ,garanti," d'au maximum 6%, avec une garantie sur les 100% du capital.",8.0,garanti,garantir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,6.0,acl,6:acl,_,1.0
243700,918575,"De son côté, Eric Woerth s'est félicité d'un projet qui assure à France Télévisions une ressource ",garantie," et pérenne, par le biais de la redevance et du budget, en lieu et place d'une ressource """"incertaine"""" liée à la publicité.",20.0,garantie,garantir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,19.0,acl,19:acl,_,1.0
