Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
3462,12956,Ajouter les moules ,grattées, et lavées (plusieurs fois à grande eau) et les feuilles de persil plat et de coriandre ( en conserver pour la décoration finale).,4.0,grattées,gratter,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,3.0,acl,3:acl,_,2.0
16316,60965,"Tous les billets émis par un terminal, les billets de Mini et les billets à ",gratter, qui ont un losange rouge avec un code à barres peuvent être vérifiés avec ces appareils.,17.0,gratter,gratter,VERB,VERB,VerbForm=Inf,15.0,acl,15:acl,_,1.0
54657,205763,"La perforation et le gommage dès 1985, l'encre à ",gratter," et le vernis acrylique dès 1990, les sorties à plat et la perforation sur 32 pages en 1996, les stations de pliage en ligne en 1998...",12.0,gratter,gratter,VERB,VERB,VerbForm=Inf,10.0,acl,10:acl,_,1.0
66107,249344,Ils offrent des lots à leurs clients et décorent leurs stands ou leurs étals aux couleurs de l'opération grâce aux kits de décoration et aux tickets à ,gratter, remis gratuitement par la CCI de Melun.,29.0,gratter,gratter,VERB,VERB,VerbForm=Inf,27.0,acl,27:acl,_,3.0
72705,274049,"Certains artistes, inquiets, ",grattent,", fouillent, froissent en quête de la solution.",6.0,grattent,gratter,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,SpaceAfter=No,1.0
80068,301105,Pas un amateur de cartes à ,gratter,", il n'était pas un habitué de la Roue de Fortune.",7.0,gratter,gratter,VERB,VERB,VerbForm=Inf,5.0,acl,5:acl,SpaceAfter=No,1.0
119118,450151,"Après une campagne très active sur internet, l'Elysée avait un peu déserté cet espace C'est comme s'ils avaient pris tardivement conscience que le web était devenu un poil à ",gratter," dans la communication présidentielle"""", souligne M. Vanbremeersch.",34.0,gratter,gratter,VERB,VERB,VerbForm=Inf,32.0,acl,32:acl,_,2.0
136247,514409,"Mais, il peut arriver qu'un joueur de Lotto n'achète plus de billets à ",gratter," par exemple ceci expliquant en partie les baisses de ventes"""", souligne M. Hotyat.",18.0,gratter,gratter,VERB,VERB,VerbForm=Inf,16.0,acl,16:acl,_,2.0
155131,585110,"Le génie de Franquin - et de ses comparses Delporte et Jidéhem -, c'est de nous avoir fait aimer l'archétype du collègue qui nous taperait sur les nerfs dans la réalité (du poil à ",gratter," en spray, ça vous dirait, à vous ?).",39.0,gratter,gratter,VERB,VERB,VerbForm=Inf,37.0,acl,37:acl,_,1.0
180376,680562,La proportion très élevée de gains avec les billets à ,gratter, réclamés par les commis de point de vente avait aussi soulevé des questions.,11.0,gratter,gratter,VERB,VERB,VerbForm=Inf,9.0,acl,9:acl,_,1.0
195947,739156,"Pour le prix du dessin, le Zurichois Thomas Ott est en rude compétition (Blutch, Ware, Gibrat mais le roi de la carte à ",gratter, (il crée le trait blanc en grattant un support noir) est un créateur puissant et original.,28.0,gratter,gratter,VERB,VERB,VerbForm=Inf,26.0,acl,26:acl,_,2.0
202546,764055,Et quels accords ,grattez,-vous?,4.0,grattez,gratter,VERB,VERB,Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin,0.0,root,0:root,SpaceAfter=No,1.0
247406,932370,"C'est le cas des cases à cocher, des surfaces à ",gratter,", des cadeaux mystères, des jeux, concours, loteries, sweepstakes, etc.",13.0,gratter,gratter,VERB,VERB,VerbForm=Inf,11.0,acl,11:acl,SpaceAfter=No,3.0
260628,982309,Il en a conclu que chaque série de 50 tickets à ,gratter, comporte le même nombre de tickets gagnants.,12.0,gratter,gratter,VERB,VERB,VerbForm=Inf,10.0,acl,10:acl,_,1.0
