Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
9835,36553,Nous avons besoin d'outils ,rénovés, ou nouveaux pour permettre à ceux qui veulent travailler la terre d'y avoir accès.,6.0,rénovés,rénover,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,5.0,acl,5:acl,_,1.0
62834,237073,L'objectif de la démarche HQE est de construire ou ,rénover," en utilisant des matériaux et des technologies modernes, de plus en plus performantes respectant l'environnement, de la conception du bâtiment à sa démolition.",11.0,rénover,rénover,VERB,VERB,VerbForm=Inf,9.0,conj,9:conj,_,1.0
63755,240537,"En outre, 76 % des propriétaires canadiens envisage de décorer, ",rénover," ou réparer leur logement, tandis que 31 % des Québécois ont exprimé les mêmes intentions.",13.0,rénover,rénover,VERB,VERB,VerbForm=Inf,11.0,conj,11:conj,_,1.0
92322,348056,"En visitant la caserne 3 du 3355 chemin Saint-Charles, nouvellement ",rénovée,", tous les membres de la famille pourront rencontrer les pompiers et découvrir leur univers.",12.0,rénovée,rénover,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,1.0
132976,502255,"En 1943 un corps expéditionnaire belge fut envoyé au Moyen-Orient où il fut ré-équipé, ré-entraîné et ",rénové, sur base des normes britanniques.,18.0,rénové,rénover,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,14.0,conj,14:conj,_,2.0
137452,518639,"Ref : 02/560 Exclusivité, Agde, dans immeuble Bourgeois entiérement ",rénové, avec façade en pierres.,12.0,rénové,rénover,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,acl,9:acl,_,1.0
141225,533081,"Le cloître qui était dans un piètre état, a été démonté, pièce par pièce, puis ",rénové," et remonté, à l'intérieur du bâtiment moderne, dans un espace spécialement aménagé sous une verrière, accueillant également des sculptures.",19.0,rénové,rénover,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,conj,12:conj,_,1.0
178931,675010,"Ces rues, dont les façades de presque toutes les maisons sont en brique, certaines bien ",rénovées,", permettent d'avoir une bonne idée de ce qu'étaient les rues de Toulouse au Moyen-Age.",18.0,rénovées,rénover,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,16.0,acl,16:acl,SpaceAfter=No,1.0
235840,889179,"Cette nouvelle disposition est prise afin de sécuriser la circulation, car cette route nouvellement ",rénovée, présente un danger pour les piétons.,16.0,rénovée,rénover,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,14.0,acl,14:acl,_,1.0
245840,926528,Une volonté à retranscrire dès vendredi dans un Thomond Park ,rénové, et qui étrennera ses deux nouvelles tribunes qui portent sa capacité à 26 000 places.,11.0,rénové,rénover,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,acl,9:acl,_,1.0
