Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
560,2042,"«L'argile est extrêmement sensible, donc il peut se produire une rupture au cours des prochains jours», ",craint, M. Robitaille.,22.0,craint,craindre,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,parataxis,6:parataxis,_,2.0
63553,239760,"Une partie au couteau est à prévoir dans le groupe B où la Russie, championne du monde en titre, a tout à ",craindre, de son prochain match contre le Brésil mardi.,25.0,craindre,craindre,VERB,VERB,VerbForm=Inf,23.0,xcomp,23:xcomp,_,1.0
76437,287720,Tout au contraire on peut ,craindre," - faute de développer une politique ambitieuse et novatrice - que le débat ne se résume à une passe d'armes entre libéraux """"malgré eux"""" et défenseurs du service public.",6.0,craindre,craindre,VERB,VERB,VerbForm=Inf,5.0,xcomp,5:xcomp,_,2.0
93006,350761,"Loin des yeux, loin du coeur, ",craint, la CGSP.,9.0,craint,craindre,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
96823,365190,On peut sans doute émettre l’hypothèse que le moment précis illustré ici est « Mais à cette parole elle fut fort troublée » tandis que l’ange fait un geste rassurant « Ne ,craignez," point, Marie ».",35.0,craignez,craindre,VERB,VERB,Mood=Imp|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin,2.0,advcl,2:advcl,_,3.0
100081,377629,"Une source potentielle d'affrontement, ",craignent," les libéraux, qui veulent donc pérenniser cette pratique via un ajout à la loi sur l'organisation judiciaire.",7.0,craignent,craindre,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
100812,380287,"Il a toutefois démenti plusieurs fois son intention de """"prendre leurs armes aux gens"""" et a récemment assuré que les propriétaires d'armes à feu n'ont """"rien à ",craindre, de la part de sa future administration.,33.0,craindre,craindre,VERB,VERB,VerbForm=Inf,31.0,acl,31:acl,SpaceAfter=No,1.0
103338,389816,Nous sommes d'autant plus satisfaits de ces résultats que nous avons tout à ,craindre," de l'été, explique Axel Duroux, président du directoire de RTL.",16.0,craindre,craindre,VERB,VERB,VerbForm=Inf,14.0,acl,14:acl,_,3.0
109310,412541,Les morts étaient si nombreux (et contagieux ,craignaient,-on) que les préposés au ramassage des cadavres utilisaient des crocs pour les rassembler avant de les faire brûler.,9.0,craignaient,craindre,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin,5.0,dep,5:dep,SpaceAfter=No,1.0
121183,458010,"Alors que le sort aurait pu leur réserver une équipe chypriote, les Bourguignons auront en effet tout à ",craindre," de l'équipe slave, même s'ils disposeront de l'avantage du terrain au retour.",20.0,craindre,craindre,VERB,VERB,VerbForm=Inf,18.0,xcomp,18:xcomp,_,1.0
133624,504729,"De fortes pluies sont attendues à travers tout le pays"""" dans les jours à venir et des inondations sont à ",craindre,", a déclaré jeudi le directeur de la météo zimbabwéenne, Amos Makarau, cité par la presse gouvernementale.",22.0,craindre,craindre,VERB,VERB,VerbForm=Inf,5.0,conj,5:conj,SpaceAfter=No,1.0
146581,552976,"Dans une lettre adressée aux municipalités canadiennes, vendredi, il a tenté de rassurer les maires, déclarant qu'ils n'avaient rien à ",craindre, si le budget devait être annulé.,26.0,craindre,craindre,VERB,VERB,VerbForm=Inf,24.0,acl,24:acl,_,2.0
152968,577049,"Si Nihous fait beaucoup moins en 2007, on ne pèsera plus dans le débat politique », ",craignent, plusieurs présidents de fédération.,19.0,craignent,craindre,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,11.0,parataxis,11:parataxis,_,1.0
