Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
38686,145590,On apprendra dans le téléfilm de 1996 que J.R. ne s'est pas ,suicidé, (il a tiré dans le miroir) et qu'il est parti s'exiler pendant cinq ans en Europe.,14.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,2.0,ccomp,2:ccomp,_,3.0
47780,180213,"Le 5 février 1946, les journaux rapportaient que Milan Nedić, profitant d’un moment d’inattention de ses gardes, s’était ",suicidé, en se jetant par la fenêtre.,25.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,8.0,ccomp,8:ccomp,_,1.0
48498,182769,"L'agresseur, a priori seul, s'est ",suicidé," en se jetant du deuxième étage de la Tour du Tambour, édifice bâti au XIIIe siècle qui offre de belles vues sur le Vieux Pékin.",10.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
59340,223342,"Les ballades Always et Do I Remember a Life sont enregistrés en hommage à Ingo Schwichtenberg, ancien batteur de Helloween qui s’était ",suicidé, quelques mois auparavant.,25.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,19.0,acl:relcl,19:acl:relcl,_,1.0
145711,549773,"Elle a fait part d'un certain attachement à l'égard de son ravisseur, Wolfgang Priklopil, 44 ans, qui s'est ",suicidé, mercredi soir.,25.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,16.0,acl:relcl,16:acl:relcl,_,1.0
166384,627404,"L'assureur Industrielle Alliance refuse de verser les compensations à la veuve, prétextant que M. Giraldo s'est ",suicidé, en provoquant les policiers.,20.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,14.0,ccomp,14:ccomp,_,1.0
168482,635415,"Son ravisseur présumé, Hans Urs Von Aesch, un Suisse de 67 ans résidant en Espagne, s'est ",suicidé, après avoir tué l'enfant et tiré sur un promeneur.,21.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
173408,654093,La police enquêtait après avoir trouvé un mot suggérant que la jeune femme s'était ,suicidée,", mais son téléphone et ses clés étaient introuvables, selon l'agence Kyodo.",16.0,suicidée,suicider,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,9.0,ccomp,9:ccomp,SpaceAfter=No,1.0
213689,805838,Cette annonce et la remise de ce rapport interviennent alors que des sources syndicales ont révélé mardi qu'un salarié d'un prestataire de service du Technocentre de Renault à Guyancourt (Yvelines) s'est ,suicidé, fin février.,37.0,suicidé,suicider,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,16.0,ccomp,16:ccomp,_,1.0
225532,850708,"Beaucoup d'habitants de l'île - souvent des familles entières, s'étaient ",suicidés, plutôt que de se rendre à l'armée américaine.,15.0,suicidés,suicider,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,2.0
