Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
52428,197698,"Du reste, l'histoire du continent est pleine d'exemples où ce sont les militaires français qui ont fait et ",défait, les pouvoirs africains.,22.0,défait,défaire,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,20.0,conj,20:conj,_,1.0
98322,370982,"C'est un flic au SRPJ de Marseille, un homme moralement ",défait," et physiquement détruit, qu'on voit détourner un bus sous l'effet de l'ivresse au début du film.",13.0,défait,défaire,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,11.0,acl,11:acl,_,1.0
117547,444028,Le problème est que vous ne pouvez pas revenir en arrière et ,défaire," ou réparer le dommage qu'ils ont commis non seulement à ce pays, mais à ceux qui ont été blessés et tués en raison de ces fausses accusations"""", a-t-il dit.",13.0,défaire,défaire,VERB,VERB,VerbForm=Inf,9.0,conj,9:conj,_,1.0
138434,522531,"Au lieu de continuer à démolir ce que l'autre fait, au lieu de ",défaire," quand on arrive ce qui a été fait par les précédents, on va s'y mettre tous ensemble», explique François Bayrou.",16.0,défaire,défaire,VERB,VERB,VerbForm=Inf,14.0,acl,14:acl,_,1.0
147651,557166,"La Zanu-PF affirme avoir conclu un accord de gouvernement avec la faction Mutambara, composante minoritaire du MDC qui se trouve en position de faire ou ",défaire, une majorité parlementaire.,29.0,défaire,défaire,VERB,VERB,VerbForm=Inf,27.0,conj,27:conj,_,2.0
172409,650281,Les Guignols de l'info et le défunt Bébête Show n'ont-ils pas contribué à faire et ,défaire, bien des carrières?,19.0,défaire,défaire,VERB,VERB,VerbForm=Inf,17.0,conj,17:conj,_,1.0
179122,675769,Mon corps ,défait,", disloqué, il ne restera de moi rien d'autres que des nuages de cendres blanches au ciel ardent.",3.0,défait,défaire,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,advcl,9:advcl,SpaceAfter=No,1.0
209749,790900,A se souvenir des assemblées publiques où les citoyens ont pu dire et ,défaire, leurs envies et leurs craintes.,14.0,défaire,défaire,VERB,VERB,VerbForm=Inf,12.0,conj,12:conj,_,1.0
233760,881352,"La commande """"",Défaire, des menus d'édition (raccourci Ctrl+Z) permet d'annuler la toute dernière modification dans la zone de saisie en cours.,4.0,Défaire,défaire,VERB,VERB,VerbForm=Inf,2.0,acl,2:acl,SpaceAfter=No,1.0
248822,937693,Ce sont les médias qui font et ,défont," les vérités, qui décident qui est suspect et qui est crédible, ne recueillent que les informations qui les arrangent, ne présentent que les faits qui leur conviennent.",8.0,défont,défaire,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,6.0,conj,6:conj,_,1.0
