Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
486,1749,"Or celui qui se laisse corrompre par le plaisir ou la douleur a tôt fait de perdre de vue le principe, le but et la cause de tout ce qu'il doit choisir ou ",accomplir,", car le vice est destructeur du principe.",36.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,34.0,conj,34:conj,SpaceAfter=No,1.0
20674,77477,"J'ai également fait quelques demandes de fusion et de redirection, tâches que j'aimerais pouvoir ",accomplir, moi-même.,18.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,17.0,xcomp,17:xcomp,_,2.0
21877,81853,Une fois leur forfait ,accompli,", les deux protagonistes du meurtre reviennent à Genève.",5.0,accompli,accomplir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,advcl,12:advcl,SpaceAfter=No,1.0
22513,84387,La mort expiatoire substitutive imminente de Jésus n’avait pas pour seul but d’,accomplir," et de remplacer la pâque, elle allait aussi remplacer les rites de l’Ancien Testament.",15.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,13.0,acl,13:acl,_,1.0
37654,141663,"Bien que des améliorations aient été apportées par les opérateurs ou les SCS dans la présentation des factures, de nombreux progrès restent à ",accomplir," : lisibilité des libellés, éclatement des rubriques et facturation détaillée.",25.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,23.0,xcomp,23:xcomp,_,2.0
47832,180383,"Selon la conception de Weinreich, le bilinguisme s'apparente à une tâche à ",accomplir, : le locuteur bilingue doit essayer de reproduire fidèlement les normes unilingues de chaque système.,15.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,13.0,acl,13:acl,_,1.0
48101,181300,"C'est en effet l'exploit qu'a accompli -ou plutôt, qu'",accomplira," peut-être, puisque le bébé n'est pas encore né- un chercheur américain qui a ouvert une boîte de Pandore dont il ne semble pas soupçonner l'existence.",14.0,accomplira,accomplir,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin,9.0,conj,9:conj,_,1.0
59988,225799,"Javques Chirac a fait savoir le 22 juin qu'il ne témoignerait pas devant la justice """"sur des faits ",accomplis," ou connus durant son mandat"""" (1995-2007), au nom de son immunité présidentielle.",21.0,accomplis,accomplir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,20.0,acl,20:acl,_,2.0
70733,266805,"Ce qui compte, c'est ce que nous allons accomplir ensemble, et ce que nous allons ",accomplir," ensemble ne dépend que de nous"""", a-t-il noté.",12.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,11.0,xcomp,11:xcomp,_,2.0
70734,266805,"Ce qui compte, c'est ce que nous allons ",accomplir," ensemble, et ce que nous allons accomplir ensemble ne dépend que de nous"""", a-t-il noté.",12.0,accomplir,accomplir,VERB,VERB,VerbForm=Inf,11.0,xcomp,11:xcomp,_,2.0
