Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
7693,28751,Mais l'océan réserve toujours des surprises et cette campagne d'essais est indispensable pour valider les principes et ,convaincre, suffisamment pour trouver les financements.,20.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,16.0,conj,16:conj,_,1.0
9931,36931,"Passant devant un vieux compteur électrique poussiéreux, laissé là par les """"sales Français"""" comme il était dit d'un ton plus amusé que ",convaincu,", nous atteignîmes la terrasse large et nue qui offrait un point de vue sur Dakar.",27.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,25.0,advcl,25:advcl,SpaceAfter=No,1.0
13252,49553,Il faut toute la réussite de Jean-Pierre Romeu (qui passe 14 points) pour l'emporter sans toutefois ,convaincre, (18-13).,20.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,17.0,advcl,17:advcl,_,2.0
40688,153457,"Lors de l'assemblée annuelle des deux institutions de Bretton Woods, fin octobre, le président de la Banque mondiale Robert Zoellick avait prévenu qu'il ne restait que """"quelques pays à ",convaincre," pour solder les comptes, sans les identifier.",35.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,33.0,acl,33:acl,SpaceAfter=No,3.0
42168,159066,"Et comme voir c'est croire, les parents réticents se laissent ",convaincre," plus facilement en nous voyant"""", explique Ahmed, déformé par la maladie depuis l'âge de 3 ans.",13.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,12.0,xcomp,12:xcomp,_,1.0
53491,201655,"Xevi Pons, qui une nouvelle fois n'a pas totalement ",convaincu,", offre trois points supplémentaires à son employeur.",12.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,1.0,acl:relcl,1:acl:relcl,SpaceAfter=No,1.0
58617,220497,"Vos qualités commerciales, votre capacité à ",convaincre, et votre rigueur sont les atouts de votre réussite au sein de notre établissement.,8.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,6.0,acl,6:acl,_,1.0
60177,226531,Votre capacité à ,convaincre, et votre sens des priorités font de vous un interlocuteur crédible.,4.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,2.0,acl,2:acl,_,1.0
77938,293315,"J'espère que ce texte vous aura instruit, ",convaincu,", et que vous avez compris en quoi ma vision de la vie est concevable.",10.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,8.0,conj,8:conj,SpaceAfter=No,3.0
86966,327164,"C'est en discutant dans les entreprises, dans la rue et les quartiers, qu'il faut ",convaincre, en montrant aux Français de conditions modestes qui ont voté FM qu'ils ont été trompés sur la marchandise et manipulés.,19.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,18.0,xcomp,18:xcomp,_,3.0
99491,375404,"De nouveau associé à Niang en 2e mi-temps, il n'a guère ",convaincu,", ratant un penalty.",14.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,SpaceAfter=No,1.0
124136,469028,"Si la leçon commence à porter ses fruits au sein de la majorité parlementaire (lire ci-dessous), elle n'a encore ",convaincu, ni les petits commerçants ni les fournisseurs de la grande distribution.,24.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
126979,479458,La vieille ne fut pas facile à ,convaincre,", tant était enracinée en elle l'attente du bébé.",8.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,6.0,xcomp,6:xcomp,SpaceAfter=No,1.0
141790,535227,"Or, une vision, indique l'invité des «90 minutes pour ",convaincre,» exprime «une ambition et non un objectif».,14.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,12.0,acl,12:acl,SpaceAfter=No,2.0
152137,574044,"Cela dépend, en partie de vous, chers amis des chevaux, et à l'énergie que vous déploierez à ",convaincre, autour de vous qu'il ne faut pas manger les chevaux.,22.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,20.0,xcomp,20:xcomp,_,1.0
154971,584597,"L'UDC a certes réussi à rallier ses partisans à son point de vue à 88% pour les naturalisations, à 72% pour l'initiative muselière et à 60% pour l'assurance maladie, mais elle n'a guère ",convaincu, en dehors de son camp.,43.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,conj,5:conj,_,1.0
178330,672668,"Et puis... il a pour lui son enthousiasme, sa curiosité, d'inépuisables connaissances historiques, son dynamisme, cet art de ",convaincre," et d'entrainer ses interlocuteurs, fascinés par ce basque aux yeux de braises.",25.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,23.0,acl,23:acl,_,1.0
192960,727991,Il suffit de lire les déclarations de principe de ces deux organisations pour s'en ,convaincre,: les points de rencontre entre les objectifs sont nombreux et il n'y a pas de contradiction fondamentale entre les deux plateformes.,16.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,4.0,advcl,4:advcl,SpaceAfter=No,1.0
195540,737637,Ce motif officiel n'avait guère ,convaincu, et des responsables philippins avaient admis que la crainte d'attentats avait en fait motivé le report.,7.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
206659,779706,"Notre rôle est essentiel car nous devons expliquer, rapprocher les points de vue, ",convaincre,", conseiller pour bien vendre, conseiller pour bien acheter, investir, développer et réguler le marché...",16.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,8.0,conj,8:conj,SpaceAfter=No,1.0
220362,830955,"La """"capacité de ",convaincre," et """"l'habileté à trouver le bon compromis"""" des députés de la partie ministérielle seront cruciales pour la réussite du gouvernement, a poursuivi M. Charest.",5.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,3.0,acl,3:acl,SpaceAfter=No,2.0
229711,866308,"Mais si toi, tu me dis trois vérités qui me convainquent et que je puisse leur rapporter et ",convaincre," ceux de chez moi, je te laisserai partir saine et sauve, avec tes deux oreilles et ton bout de queue.",20.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,18.0,conj,18:conj,_,1.0
231110,871400,"En revanche, les pays émergents pourraient être plus difficiles à ",convaincre,", comme la Chine, et surtout l'Inde, qui craignent que les pays industrialisés veuillent leur faire porter le fardeau.",12.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,10.0,xcomp,10:xcomp,SpaceAfter=No,1.0
239361,901987,"L'argument, faisant référence à la doctrine décentralisatrice de l'Action Française (AF), ne ",convainc, guère les lecteurs et les journalistes sont contraints d'y revenir à plusieurs reprises.,19.0,convainc,convaincre,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
241692,911075,"Au retour, lui écrit une série d'articles dans l'Unità et fait une cinquantaine de conférences, tandis qu'elle publie un livre ",convaincu, et convaincant qui fera quelque bruit.,26.0,convaincu,convaincre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,25.0,acl,25:acl,_,1.0
249380,939729,"Les femmes, qui représentent 58% des électeurs à ",convaincre,", se définissent pour 46% comme des """"modérées"""".",11.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,5.0,xcomp,5:xcomp,SpaceAfter=No,1.0
251950,949054,Créer un amalgame pour ,convaincre,", ce n'est pas digne d'une attitude wikilove.",5.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,1.0,advcl,1:advcl,SpaceAfter=No,2.0
253505,954963,"Même en comptant ses amis agréablement étranges et son noeud dans les poils, Hello Kitty ne parvient pas à ",convaincre,", malgré des débuts relativement réjouissants.",21.0,convaincre,convaincre,VERB,VERB,VerbForm=Inf,18.0,xcomp,18:xcomp,SpaceAfter=No,3.0
262097,987986,Mais Obama ne ,convainc, guère.,4.0,convainc,convaincre,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
