Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
1999,7527,"Pendant la phase de mutation, la girelle semble très ",affaiblie,", elle perd de sa vivacité, se montre peu et peut même rester enfouie plusieurs jours.",11.0,affaiblie,affaiblir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,9.0,xcomp,9:xcomp,SpaceAfter=No,1.0
2252,8462,"Les clans des grandes familles nobles ainsi que la caste des guerriers virent grandir leur influence à dater de 1156, alors que l'empereur Sutoku, ",affaibli," et cloîtré, avait du se résoudre à demander leur protection.",28.0,affaibli,affaiblir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,33.0,advcl,33:advcl,_,1.0
36130,135908,Mais la tempête s'est ,affaiblie, alors qu'elle se déplaçait vers la Chine dimanche.,6.0,affaiblie,affaiblir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
42853,161531,"Il se caractérise par un immense manque de confiance en lui-même, un ton monotone et ",affaibli,", des pauses inapropriées et une incompétence étonnante.",17.0,affaibli,affaiblir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,15.0,conj,15:conj,SpaceAfter=No,2.0
67395,254408,"Selon les analystes, cette décision pourrait ",affaiblir,", si ce n'est faire imploser, la coalition gouvernementale qui dispose d'une faible majorité de 198 sièges sur 386 au Parlement.",8.0,affaiblir,affaiblir,VERB,VERB,VerbForm=Inf,7.0,xcomp,7:xcomp,SpaceAfter=No,1.0
82346,309518,La conflagration laisse des pays ,affaiblis," politiquement, et militairement dominés par deux superpuissances, les États-Unis et l'URSS lors de la guerre froide.",6.0,affaiblis,affaiblir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,5.0,acl,5:acl,_,1.0
113955,430021,Les positions respectives de la Fédération étudiante universitaire du Québec (FEUQ) et de l'Association pour une solidarité syndicale étudiante (ASSEE) contribuent à diviser et à ,affaiblir, le mouvement étudiant québécois.,31.0,affaiblir,affaiblir,VERB,VERB,VerbForm=Inf,28.0,conj,28:conj,_,1.0
119236,450600,"Les chefs d'al-Qaida sont cachés au Pakistan d'où ils revitalisent leur réseau, ",affaibli," mais résistant, a-t-il, en substance, lancé jeudi, dans une déclaration inhabituellement directe.",18.0,affaibli,affaiblir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,16.0,acl,16:acl,_,1.0
134861,509253,"En s'en venant par ici, le système s'est ",affaibli," et nous n'avons finalement eu que du verglas», explique M. Héroux.",12.0,affaibli,affaiblir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,2.0
160084,603633,"Il faut prendre garde à ces propos parce que M. Bush, si ",affaibli," soit-il dans sa dernière année de présidence, n'en est pas moins responsable de la politique américaine, notamment sur le dossier iranien.",14.0,affaibli,affaiblir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,15.0,advcl,15:advcl,_,2.0
169916,640826,"Lévesque, désormais à la tête d'un gouvernement sérieusement ",affaibli,", convoque, en janvier 1985, un congrès spécial où il met officiellement en veilleuse l'option indépendantiste.",11.0,affaibli,affaiblir,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,acl,9:acl,SpaceAfter=No,2.0
188390,710616,"Depuis l'échec de la négociation de 1984 sur la flexibilité, les syndicats français, historiquement divisés, et surtout trop peu représentatifs et trop ",affaiblis," pour pouvoir peser sur le cours des choses, négocient reculs et replis.",27.0,affaiblis,affaiblir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,24.0,conj,24:conj,_,2.0
193185,728816,La conséquence à la fois d'une demande un peu ,affaiblie, et de l'arrivée d'une série de nouveaux tankers.,11.0,affaiblie,affaiblir,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,8.0,acl,8:acl,_,1.0
197322,744479,"Après la tempête, le nombre considérable d'arbres mutilés, ",affaiblis, et porteurs de blessures sont autant de portes ouvertes au développement de nombreux ennemis de la forêt.,12.0,affaiblis,affaiblir,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,10.0,conj,10:conj,_,1.0
